sequence,move to front,opt,opt free,discrete doa,continuous doa
"3,1,1,1,3,0",14,13,13,14,14
"2,0,2,0,0,0",11,9,9,10,9
"4,3,2,0,0,1",25,16,16,16,16
"0,4,2,3,1,0",25,16,16,16,16
"0,0,2,0,2,0",11,9,9,10,9
"1,1,4,0,0,4",14,13,13,14,14
"1,3,2,0,0,3",18,14,14,15,15
"0,0,1,1,4,4",11,11,11,11,11
"4,1,0,4,0,1",19,14,14,16,14
"0,3,4,2,1,4",23,18,18,18,19
"4,3,0,4,3,0",22,16,17,19,17
"4,1,3,3,1,4",19,17,19,19,19
"4,3,1,1,4,3",21,17,20,20,20
"3,4,0,4,3,0",20,16,16,18,16
"0,0,1,4,4,2",14,14,14,14,14
"0,0,2,2,1,3",13,13,13,13,13
"0,0,0,1,3,2",13,12,12,12,12
"0,0,0,2,4,1",15,13,13,13,13
"2,1,1,1,2,0",13,12,12,13,13
"0,2,1,1,2,0",13,12,12,13,13
"4,4,3,0,1,3",21,19,19,19,20
"0,0,1,2,2,4",13,13,13,13,13
"0,0,1,1,2,2",9,9,9,9,9
"2,1,1,2,1,2",13,11,12,12,12
"0,0,2,2,3,4",15,15,15,15,15
"0,1,2,0,2,0",13,10,10,11,10
"2,2,3,0,3,0",15,13,13,14,14
"4,0,3,2,0,1",25,16,16,16,16
"1,1,4,2,0,4",19,16,16,16,17
"3,2,0,0,1,0",18,12,12,12,12
"2,4,1,1,4,2",18,16,18,18,18
"0,0,0,2,2,0",9,9,9,9,9
"2,4,1,2,1,4",20,16,18,18,18
"0,0,0,1,0,4",12,11,11,11,11
"0,0,1,2,3,4",16,16,16,16,16
"0,0,1,1,1,4",11,11,11,11,11
"0,0,0,2,4,3",16,15,15,15,15
"0,4,2,0,4,2",19,15,16,17,16
"2,3,1,1,2,3",18,15,17,17,17
"4,2,2,3,3,4",19,17,19,19,19
"4,0,1,1,0,4",16,14,14,16,14
"0,3,2,3,1,2",18,15,16,17,17
"0,1,3,2,0,3",18,14,14,15,15
"0,0,1,1,3,4",14,14,14,14,14
"4,3,0,1,2,0",25,16,16,16,16
"3,0,2,3,0,0",17,13,13,14,14
"2,0,0,2,0,0",11,9,9,10,9
"0,4,2,4,1,2",19,16,17,18,18
"0,0,0,0,1,0",8,7,7,7,7
"1,1,2,1,2,1",12,10,10,11,10
"1,0,3,2,1,0",20,13,13,13,13
"2,1,1,1,1,2",11,10,11,11,11
"4,3,1,4,3,1",23,17,20,21,20
"0,3,1,1,3,0",14,13,13,14,14
"0,0,0,3,0,1",12,10,10,10,10
"0,4,1,2,4,4",17,15,15,15,16
"1,4,3,2,1,0",26,17,17,17,17
"3,2,1,2,1,3",19,15,17,17,17
"3,4,2,2,3,4",21,18,20,20,20
"0,4,2,1,4,3",22,19,19,19,20
"0,3,2,1,3,3",17,14,14,15,15
"0,0,1,1,2,3",12,12,12,12,12
"4,2,4,1,2,1",20,16,18,18,18
"2,1,2,0,1,0",16,12,12,13,13
"3,4,2,3,1,2",25,19,20,21,21
"0,0,0,2,2,3",11,11,11,11,11
"4,2,1,4,1,2",21,16,18,19,18
"4,3,0,3,4,0",21,16,17,19,17
"0,3,2,1,0,0",18,12,12,12,12
"2,4,1,2,4,1",21,16,18,19,18
"1,2,1,2,1,1",12,10,10,11,10
"2,1,3,1,2,3",18,15,16,17,16
"0,0,1,4,4,3",15,15,15,15,15
"0,0,0,1,0,3",11,10,10,10,10
"3,0,4,2,1,0",25,16,16,16,16
"2,1,1,2,1,1",12,10,11,11,11
"0,0,0,3,1,2",14,12,12,12,12
"2,0,3,0,2,3",17,14,14,16,14
"0,0,0,1,2,2",9,9,9,9,9
"2,4,3,0,1,0",24,16,16,16,16
"3,2,0,2,3,0",19,14,15,16,15
"1,2,0,0,0,2",12,10,10,11,10
